University,Location,Mission,Tuition,TuitionIS,UndergradEnroll,Choice
Jarvis Christian College,"Hawkins, TX","Jarvis Christian College is a historically Black liberal arts, baccalaureate degree-granting institution affiliated with The Christian Church [Disciples of Christ]. The mission of the college is to prepare students intellectually, through academic programs that promote excellence in teaching and learning; socially, through student centered support programs that encourage positive and constructive communication among peers, faculty, and staff; spiritually, through programs that stimulate spiritual growth and worship; and personally, through interaction that fosters self development and maturity.  The mission further seeks to prepare students for professional and graduate studies, productive careers, and to function effectively in a global and technological society.",23840,10400,251,0
Jefferson Davis Community College,"Brewton, AL","Jefferson Davis Community College, one of the public two-year colleges of the Alabama College System, provides accessible quality educational opportunities through traditional classroom and distance learning formats, promotes economic growth, and enhances the quality of life for the college service area.",13228,3450,350,0
Johnson C Smith University,"Charlotte, NC","The mission of Johnson C. Smith University is to provide an outstanding education for a diverse group of talented and highly motivated students from various ethnic, socioeconomic, and geographical backgrounds.  Johnson C. Smith offers a liberal education in conjunction with concentrated study in specialized fields in preparation for advanced study and specific careers.",32136,15466,330,0
Johnson State College,"Johnson, VT","The Johnson State community believes in the power of higher education to transform lives. We express this commitment through an education that crosses academic and other boundaries, wherever possible; creates opportunities for students to extend their classroom learning to the field, the laboratory, the studio, the community, and the local and wider world; recognizes the diverse starting points and goals of students; and sustains active participation, high standards, vigorous debate and mutual respect.",23264,9984,204,1
Kentucky Mountain Bible College,"Jackson, KY",Kentucky Mountain Bible College is a Bible-centered undergraduate higher educational institution in a residential setting whose mission is to equip God-called men and women with  - a passion to Know God - a passion to prepare for Missions - a passion to live and teach the message of Biblical holiness - and a passion to evangelize and disciple the world for Christ.,13190,6750,15,0
Lamar Community College,"Lamar, CO",We enrich lives through Learning,16276,3132,140,0
Lane Community College,"Eugene, OR","Lane is the community's college; we provide comprehensive, accessible, quality, learning-centered educational opportunities that promote student success.",15960,3582,1214,0
Langston University,"Langston, OK","Grounded in its rich traditions as a historically Black college and university, and a land-grant institution, Langston University offers quality post-secondary education to diverse populations through academic, research, community engagement, extension, and co-curricular experiences that lead to professional competence and degree completion.",18714,3726,641,0
Le Moyne-Owen College,"Memphis, TN","LeMoyne-Owen College provides a transformative experience educating students for urban-focused leadership, scholarship, service and professional careers.",18590,10460,183,0
Life University,"Marietta, GA","The Mission of Life University is to empower each student with the education, skills and values needed for career success and life fulfillment based on a vitalistic philosophy. The University’s undergraduate, graduate and professional programs - each one committed to excellence in teaching, learning, research and the overall student experience - offer a vision and the promise for a meaningful life, the proficiencies necessary to achieve optimum personal performance and the wisdom to become transformational leaders in an increasingly diverse, global and dynamic world.",35160,9810,87,0
Limestone College,"Gaffney, SC","From page eight of the Limestone College 2015-2016 Academic Catalog: ""The mission of Limestone College is to educate students from diverse backgrounds in the liberal arts and selected professional disciplines. By providing degree programs throughout South Carolina and by way of the Internet, Limestone College offers opportunities for personal and professional growth to individuals who may find access to higher education difficult.  In a nurturing, supportive environment based on Christian ideals and ethical principles, students are challenged to become critical thinkers and effective communicators who are prepared for responsible citizenship, successful careers, and graduate study.  The College's faculty and staff, academic and co-curricular programs, financial resources, and support services are dedicated to an educational climate that upholds high academic standards and fosters respect for learning and beauty, creativity and hard work, tolerance and personal integrity, vigorous activity and spiritual reflection.""",39268,23900,427,0
Lincoln College of New England-Southington,"Southington, CT","Lincoln College of New England empowers students with knowledge and skills, while promoting the confidence and integrity necessary to succeed in diverse careers and communities. The College creates a student-centered 21st century learning environment providing a comprehensive education with an emphasis on career and applied knowledge.",35083,18780,153,0
LIU Brooklyn,"Brooklyn, NY","Long Island University was founded on the principle of educating and empowering men and women from all walks of life. Through our mission of Access and Excellence, the LIU community remains committed, above all else, to the educational needs and interests of our diverse student body. We strive to cultivate and expand academic, professional, artistic and co-curricular opportunities, enabling students to realize their full potential as ethically grounded, intellectually vigorous and socially responsible global citizens.",52646,33678,788,1
LIU Post,"Brookville, NY","Long Island University was founded on the principle of educating and empowering men and women from all walks of life. Through our mission of Access and Excellence, the LIU community remains committed, above all else, to the educational needs and interests of our diverse student body. We strive to cultivate and expand academic, professional, artistic and co-curricular opportunities, enabling students to realize their full potential as ethically grounded, intellectually vigorous and socially responsible global citizens.",53184,33678,474,0
Louisburg College,"Louisburg, NC","Related by faith to The United Methodist Church, Louisburg College is committed to offering a supportive community which nurtures young men and women intellectually, culturally, socially, physically, and spiritually. As a two-year residential institution, we provide a bridge for students to make a successful transition from high school to senior colleges and universities.",31074,14827,348,0
Louisiana State University and Agricultural & Mechanical College,"Baton Rouge, LA","As the flagship institution of the state, the vision of Louisiana State University is to be a leading research-extensive university, challenging undergraduate and graduate students to achieve the highest levels of intellectual and personal development.  Designated as a land-, sea-, and space-grant institution, the mission of Louisiana State University is the generation, preservation, dissemination, and application of knowledge and cultivation of the arts.  In implementing its mission, LSU is committed to: *  offer a broad array of undergraduate degree programs and extensive graduate research opportunities designated to attract and educate highly qualified undergraduate and graduate students; *  employ faculty who are excellent teacher-scholars, nationally competitive in research and creative activities, and who contribute to a world-class knowledge base that is transferrable to educational, professional, cultural, and economic enterprises; and *  use its extensive resources to solve economic, environmental, and social challenges.",25750,7552,5564,0
Lyndon State College,"Lyndonville, VT","Lyndon State College prepares every student for personal and professional success through experience-based, high-quality programs in the liberal arts and professional studies.",23314,9984,271,0
Manchester University,"North Manchester, IN","Manchester University respects the infinite worth of every individual and graduates persons of ability and conviction who draw upon their education and faith to lead principled, productive, and compassionate lives that improve the human condition.",42237,28840,384,0
Marist College,"Poughkeepsie, NY","Marist is dedicated to helping students develop the intellect, character and skills required for enlightened, ethical, and productive lives in the global community of the 21st century.",51090,33250,1182,0
Martin Luther College,"New Ulm, MN",Martin Luther College exists to serve the ministerial needs of the Wisconsin Evangelical Lutheran Synod (WELS) by preparing men for pastoral training at Wisconsin Lutheran Seminary and by preparing men and women for service as teachers and staff ministers in the Synod's churches and schools so that the WELS may be served by candidates both qualified and competent to proclaim the Word of God faithfully and in accord with the Lutheran Confessions in the Book of Concord.,24020,13570,166,0
Mercy College,"Dobbs Ferry, NY","Mercy College is committed to providing motivated students the opportunity to transform their lives through higher education by offering liberal arts and professional programs in personalized and high quality learning environments, thus preparing students to embark on rewarding careers, to continue learning throughout their lives and to act ethically and responsibly in a changing world.",36248,17466,930,0
Michigan Career and Technical Institute,"Plainwell, MI",The Michigan Career & Technical Institute conducts vocational and technical training programs and provides the supportive services needed to prepare Michigan residents with disabilities for competitive employment.,15333,9913,96,0
Milwaukee School of Engineering,"Milwaukee, WI","MSOE provides a sustained interactive educational climate for students to become well-rounded, technologically experienced graduates and highly productive professionals and leaders.",48650,34890,479,0
Minerva Schools at Keck Graduate Institute,"Claremont, CA",To make a smarter and wiser world.,29950,10000,18,0
Minot State University,"Minot, ND","Minot State University is a regional, public institution located in the northwest region of North Dakota, serving students from Minot, the region, state, nation, and other countries.   Committed to high academic standards and professional support for students, the university is dedicated to student success, engaged and life-long learning, advancement of knowledge, effective student service, and development of students of character. These commitments are grounded in effective and motivated teaching and learning, scholarship, and service. The university honors and supports the dignity and rights of diverse individuals, freedom of expression, academic freedom, ethical and moral behavior, integrity, fairness, and honesty.   Minot State University is first and foremost dedicated to the success of all students: their growth and development as educated citizens, their confidence, and their life-long devotion to the common good and the welfare of others.",16864,5065,303,0
Moberly Area Community College,"Moberly, MO",MACC provides dynamic and accessible educational opportunities that empower our students and enrich our communities.,12530,4110,990,0
Montreat College,"Montreat, NC","Christ-Centered, Student-Focused, Service-Driven: Equipping agents of transformation, renewal, and reconciliation.",36002,24020,153,1
Morningside College,"Sioux City, IA",The Morningside College experience cultivates a passion for life-long learning and a dedication to ethical leadership and civic responsibility.,41335,26680,347,0
Mount Ida College,"Newton, MA","Mount Ida College blends career-relevant education with broad-based learning in the arts, sciences and humanities to prepare students to succeed in a changing world.",48372,31085,418,0
Murray State College,"Tishomingo, OK","Murray State College Provides Opportunities for Student Learning, Personal Growth, Professional Success, and Community Enhancement.",16266,3712,607,0
Nebraska Methodist College of Nursing & Allied Health,"Omaha, NE","As a health professions institution, we provide educational experiences for the development of individuals in order that they may positively influence the health and well being of the community.",27538,13248,33,0
New York Institute of Technology,"Old Westbury, NY","Since 1955, New York Institute of Technology (NYIT) has pursued its mission to: provide career-oriented professional education, offer access to opportunity to all qualified students, and support applications-oriented research that benefits the larger world.",52550,32300,677,0
Newberry College,"Newberry, SC","Newberry College prepares students in the Lutheran liberal arts tradition through its supportive academic community for lifelong intellectual and personal development, meaningful vocation, and engaged citizenship in the global society.",40150,22517,259,0
Newbury College,"Brookline, MA","Newbury College engages students in a career-focused education, grounded in the liberal arts, within a diverse and dynamic learning community.  The College mentors students to become professionally competent, ethically aware, socially responsible, and prepared for lifelong learning.  Committed to personalized and experience-based teaching, Newbury College inspires students to become independent thinkers, valuable collaborators, and global-minded citizens.",47748,30128,260,0
Northcentral Technical College,"Wausau, WI","Northcentral Technical College is the customer-focused, accessible provider of innovative life-long learning that builds a globally competitive workforce.",14815,3852,864,0
Northeast Community College,"Norfolk, NE",Northeast Community College is dedicated to the success of students and the region it serves.,13699,2580,848,0
Northeast Texas Community College,"Mount Pleasant, TX","Northeast Texas Community College exists to provide responsible, exemplary learning opportunities.",17943,2850,461,0
Northeastern Junior College,"Sterling, CO","Northeastern Junior College is a comprehensive two-year institution that is committed to providing excellence in learning, training, and service. We strive to produce skilled and knowledgeable students who transfer successfully and enter the workforce productively. We strive to enrich the quality of lives through affordable and accessible learning opportunities.",17123,3132,353,0
Northeastern Oklahoma A&M College,"Miami, OK","Northeastern Oklahoma A&M College is dedicated to providing opportunities that promote excellence in learning, service, and leadership in a global society.",14692,2340,692,1
Northwestern State University of Louisiana,"Natchitoches, LA","Northwestern State University is a responsive, student-oriented institution that is committed to the creation, dissemination, and acquisition of knowledge through teaching, research, and service. The University maintains as its highest priority excellence in teaching in graduate and undergraduate programs. Northwestern State University will prepare its students to become productive members of society and will promote economic development and improvements in the quality of life of the citizens in its region.",20146,5180,1255,1
Oak Hills Christian College,"Bemidji, MN","The mission of Oak Hills Christian College is to provide biblically centered higher education which contributes to growth toward Christ likeness and prepares students for effective service in their homes, careers, churches and communities.",27604,15900,22,0
Oakland University,"Rochester Hills, MI","Oakland University is a preeminent metropolitan university that is recognized as a student-centered, doctoral research institution with a global perspective. We engage students in distinctive educational experiences that connect to the unique and diverse opportunities within and beyond our region.  Through faculty-driven and student-engaged research, scholarship, and creative activity, Oakland University advances knowledge and art in a diverse and inclusive environment.  Oakland University is an active community partner providing thriving civic, cultural, and recreational opportunities and valuable public service.",23222,12431,2639,0
Odessa College,"Odessa, TX","Odessa College delivers more opportunities for success. Odessa College will lead the way in preparing its students and community for the future. The college offers exemplarycourses, programs and services to assist students in achieving their educational goals and becoming lifelong learners, community builders and global citizens. Odessa College empowers its employees to model excellence in their service to students, colleagues and community.",12151,3240,959,0
Ohio University-Main Campus,"Athens, OH","Mission Statement   Ohio University holds as its central purpose the intellectual and personal development of its students.  Distinguished by its rich history, diverse campus, international community, and beautiful Appalachian setting, Ohio University is known as well for its outstanding faculty of accomplished teachers whose research and creative activity advance knowledge across many disciplines.",26494,11075,4375,1
Oklahoma Christian University,"Edmond, OK","Oklahoma Christian University is a higher learning community which transforms lives for Christian faith, scholarship, and service.",31770,19890,429,0
Oklahoma State University Institute of Technology,"Okmulgee, OK","OSU Institute of Technology's mission is to serve as the lead institution of higher education in Oklahoma and the region providing comprehensive, high-quality, advancing technology programs and services to prepare and sustain a diverse student body as competitive members of a world-class workforce and contributing members of society.",14731,3720,505,1
Olivet College,"Olivet, MI","The mission of Olivet College is to make available to a diverse campus community, an education which will enrich lives intellectually, morally and spiritually.  Having gained these qualities through the educational experiences at Olivet College, our hope is that our graduates will embody the ""Divine art and science of doing good to others"" as stated by the founding fathers of Olivet College in 1844.",37182,23950,239,0
Onondaga Community College,"Syracuse, NY","Onondaga Community College makes high quality educational programs and services accessible to our diverse citizenry, empowering individuals to explore and discover their inherent potential and to transform themselves to live, work and thrive in our global community.",17896,4430,2242,0
Pacific Lutheran University,"Tacoma, WA","PLU seeks to educate students for lives of thoughtful inquiry, service, leadership and care - for other people, for their communities and for the earth.",51838,37600,625,0
Pacific University,"Forest Grove, OR","A diverse and sustainable community dedicated to discovery and excellence in teaching, scholarship and practice, Pacific University inspires students to think, care, create, and pursue justice in our world.",54036,38950,472,0
Panola College,"Carthage, TX","Panola College is dedicated to providing excellence in education. The range of educational offerings includes university transfer programs, technical and workforce programs, developmental courses designed to increase academic proficiency, and continuing education to enrich lives and improve skills. Our aim is to help each student achieve his or her full potential and contribute to the further development of society.",16077,600,431,1
Paul Smiths College of Arts and Science,"Paul Smiths, NY","Paul Smith's College actively educates students to become productive citizens by combining experiential and traditional instruction through our commitment to discovery, discipline, and creativity. Our Paul Smith's College community, residing within the Adirondack Park, promotes economic, social and environmental sustainability.",44050,23500,247,0
Peru State College,"Peru, NE","In educating the individual to the benefit of society, Peru State College cultivates the capacity and propensity for life-long learning by fostering independent inquiry and promoting the value of knowledge and discovery. Through innovative undergraduate and graduate programs, Nebraska's first college continues its commitment to making a vital contribution to the future of the region and the state.",17730,4590,243,0
Philander Smith College,"Little Rock, AR","The mission of Philander Smith College is to graduate academically accomplished students who are grounded as advocates for social justice, determined to intentionally change the world for the better.",25240,11804,170,0
Piedmont International University,"Winston-Salem, NC","Piedmont International University is an established provider of quality, Bible-centered higher education for effective lifetime ministry. We are driven by our love for students and alumni and are committed to their success. We serve churches by equipping leaders to obey the Great Commandment and fulfill the Great Commission. We will grow in influence to become an internationally recognized leader in innovative, Bible-centered higher education for effective ministry in a constantly changing world.",22935,8850,30,0
Pierpont Community and Technical College,"Fairmont, WV","The mission of Pierpont Community and Technical College is to enhance the quality of life for people of north-central West Virginia through accessible, affordable, comprehensive, responsive, workforce-related training, and quality higher education opportunities.",16876,4460,389,1
Presbyterian College,"Clinton, SC","The compelling purpose of Presbyterian College, as a church-related college, is to develop within the framework of Christian faith the mental, physical, moral, and spiritual capacities of each student in preparation for a lifetime of personal and vocational fulfillment and responsible contribution to our democratic society and the world community.",49580,33200,261,1
Purdue University-Calumet Campus,"Hammond, IN",Purdue University Calumet provides a quality undergraduate education to students of Northwest Indiana and beyond who are ready for the world of work or graduate education. We selectively offer graduate education in areas of strong student interest and community need as well as faculty expertise. We are dedicated to economic development to create a more economically viable world community and to the Purdue system-wide land-grant mission.,21474,6217,958,0
Radford University,"Radford, VA","Radford University serves the Commonwealth of Virginia and the nation through a wide range of academic, cultural, human service, and research programs. First and foremost, the university emphasizes teaching and learning and the process of learning in its commitment to the development of mature, responsible, well-educated citizens. Radford University develops students' creative and critical thinking skills, teaches students to analyze problems and implement solutions, helps students discover their leadership styles, and fosters their growth as leaders. Toward these ends, the university is student-focused and promotes a sense of caring and of meaningful interaction among all members of the University community. Research is viewed as a vital corollary to the teaching and learning transaction as it sustains and enhances the ability to teach effectively. Radford University believes in the dynamics of change and has a strong commitment to continuous review, evaluation, and improvement in the curriculum and all aspects of the University, so as to meet the changing needs of society.",21969,6788,1953,0
Rensselaer Polytechnic Institute,"Troy, NY","Rensselaer educates the leaders of tomorrow for technologically based careers. We celebrate discovery, and the responsible application of technology, to create knowledge and global prosperity.",66172,48100,1213,0
Rhodes College,"Memphis, TN","Rhodes College aspires to graduate students with a lifelong passion for learning, a compassion for others, and the ability to translate academic study and personal concern into effective leadership and action in their communities and the world. We will achieve our aspiration through four strategic imperatives:  Student Access To attract and retain a talented, diverse student body and engage these students in a challenging, inclusive and culturally-broadening college experience.  Student Learning To ensure our faculty and staff have the talent, the time and the resources to inspire and involve our students in meaningful study, research and service.  Student Engagement To enhance student opportunities for learning in Memphis.  Student Inspiration To provide a residential place of learning that inspires integrity and high achievement through its beauty, its emphasis on values, its Presbyterian history, and its heritage as a leader in the liberal arts and sciences.",57714,42914,549,1
Robert Morris University,"Moon Township, PA","Robert Morris University is a student-centered institution that transforms lives by building knowledge, skills, and citizenship, all of which focus on the achievement of one's personal and professional goals. Engaged learning, within a highly supportive environment, enables our students to develop strong communication skills, excel within collaborative settings, effectively address complex problems with innovative solutions, and lead with integrity and compassion throughout their lives and careers in a diverse and rapidly changing world.",43404,26330,824,0
Rust College,"Holly Springs, MS","Rust College is a historically Black, co-educational, senior liberal arts college founded in 1866 by the Freedman’s Aid Society of the Methodist Episcopal Church to offer quality programs in business, education, humanities, science and math, and social science to prepare students for leadership and service in a global society. WE ARE: *A college related to the United Methodist Church. *A college with sound programs designed to serve students who have a variety of academic preparations *A college that recognizes the threefold functions of education as teaching, research, and community service, with its primary mission as teaching. *A college with programs designed to acquaint students with cultural, moral, and spiritual values both in theory and in practice. *A college that provides an opportunity for education to all, regardless of race, religion, gender, national origin, or ethnic background.",16100,9500,240,0
Saint Peter's University,"Jersey City, NJ","Saint Peter's University, inspired by its Jesuit, Catholic identity, commitment to individual attention and grounding in the liberal arts, educates a diverse community of learners in undergraduate, graduate and professional programs to excel intellectually, lead ethically, serve compassionately and promote justice in our ever-changing urban and global environment",50966,33136,559,0
Salish Kootenai College,"Pablo, MT",The mission of Salish Kootenai College is to provide quality postsecondary educational opportunities for Native Americans locally and from throughout the United States. The College will promote community and individual development and perpetuate the cultures of the Confederated Tribes of the Flathead Nation.,16804,5076,146,0
School of Visual Arts,"New York, NY","The mission of the School of Visual Arts is to educate future generations of artists, designers, and creative professionals.  Core Values  I. Freedom of Expression The freedom to take risks is vital to art-making and arts education. We celebrate divergent opinions as participants in the world’s largest community of creative professionals.  II. Diversity We value our differences. An SVA education is informed by multiple approaches to learning and making; and by the presence of diverse cultural and socioeconomic backgrounds, perspectives, and experiences.  III. Integrity We believe in accountability. As we adapt and innovate, our institutional commitment to ethical conduct, community service and outreach, and financial responsibility remains steadfast.  IV. Accessibility We recognize that communication is the cornerstone of community. Accessible leadership and minimal hierarchy breed a spirit of mutual respect and cooperation.",58613,35000,419,0
Scripps College,"Claremont, CA","The mission of Scripps College is to educate women to develop their intellects and talents through active participation in a community of scholars, so that as graduates they may contribute to society through public and private lives of leadership, service, integrity, and creativity.",66060,48938,254,0
Seattle University,"Seattle, WA","Seattle University is dedicated to educating the whole person, to professional formation, and to empowering leaders for a just and humane world.",56481,38970,964,0
Seton Hill University,"Greensburg, PA","Seton Hill is a Catholic university rooted in Judeo-Christian values. In the tradition of Elizabeth Ann Seton, we educate students to think and act critically, creatively, and ethically as productive members of society committed to transforming the world.",46732,31420,385,0
Shawnee State University,"Portsmouth, OH","Shawnee State University-the regional state university for Southern Ohio-prepares students for the changing needs of business, industry, education, and society through its diversified degree programs. Recognizing the importance of knowledge, values, and cultural enrichment, Shawnee State University is committed to providing higher education that fosters competence in oral and written communication, scientific and quantitative reasoning, and critical analysis/logical thinking. To enrich the lives of the community, the University provides opportunities for continuing personal and professional development, intellectual discovery, applied research, and appreciation for the creative and performing arts.",22132,6251,895,0
Sheridan College,"Sheridan, WY",Creating student success and making a difference in our communities through educational leadership.,12356,1992,544,0
Skagit Valley College,"Mount Vernon, WA","Skagit Valley College provides opportunities for students in pursuit of their educational and employment goals, while contributing to the economic and cultural enrichment of our communities.",18000,3800,569,0
Soka University of America,"Aliso Viejo, CA",The mission of Soka University of America is to foster a steady stream of global citizens committed to living a contributive life.,46504,28938,76,0
South Dakota School of Mines and Technology,"Rapid City, SD","OUR VISION is for the South Dakota School of Mines and Technology to be recognized as an exceptional engineering and science university.   OUR MISSION is to prepare leaders in engineering and science; to advance knowledge and its application; and to serve the state of South Dakota, the region, and the nation.",24470,4530,489,0
South Georgia State College,"Douglas, GA","South Georgia State College, a state college of the University System of Georgia, is a multi-campus, student-centered institution offering high-quality associate and select baccalaureate degree programs. The institution provides innovative teaching and learning experiences, a rich array of student activities and athletic programs, access to unique ecological sites, and residential options to create a diverse, globally-focused, and supportive learning environment.",16517,2181,991,0
South Georgia Technical College,"Americus, GA","As a member of the Technical College System of Georgia and a residential institution of higher education, it is the mission of South Georgia Technical College to prepare individuals for success in the workforce by providing accessible, high-quality associate of applied science degrees, diplomas, technical certificates of credit, and non-credit programs and services that support the needs of citizens, businesses, and industries within our service delivery area in Southwest Georgia.  Statement of Purpose  To realize the distinctiveness of its mission, South Georgia Technical College is committed to:  * Providing a broad range of campus based and on-line instructional credit courses that lead to an associate of applied science degree, diploma, or technical certificate of credit as well as non-credit course offerings and services which support workforce development. * Supporting learner success through quality student services. * Promoting economic development through partnerships with business, industry, government, and local communities. * Providing accessible educational facilities and state-of-the-art equipment and technology. * Providing a qualified faculty and staff. * Providing administrative support through analysis, planning, and budgeting. Revised December 2008",7274,2136,470,0
Southern Maine Community College,"South Portland, ME",Southern Maine Community College empowers students to respond to a changing world and enhances economic and cultural development in Southern Maine by providing a variety of educational opportunities and partnerships.,16904,2700,1204,0
Southern Union State Community College,"Wadley, AL","Southern Union State Community College, an open admission, public two-year college and member of the Alabama Community College System, provides quality and relevant teaching and learning in academic, technical, and health science programs that are affordable, accessible, equitable, and responsive to the diverse needs of its students, community, business, industry, and government.",13127,3450,1199,0
Southern Wesleyan University,"Central, SC","Southern Wesleyan University is a Christ-centered, student-focused learning community devoted to transforming lives by challenging students to be dedicated scholars and servant leaders who impact the world for Christ.",36230,23020,180,1
Southwest Mississippi Community College,"Summit, MS","Southwest Mississippi Community College provides academic,  career, and continuing education, meeting the diverse needs of the population at a reasonable cost. SMCC provides community services and promotes economic development through consultative and work-force training.",9320,2400,540,0
Southwestern Michigan College,"Dowagiac, MI",The mission of Southwestern Michigan College is to serve our community by providing affordable local access to high quality postsecondary career preparation and college education - including the total college life experience.,18154,4549,638,0
Southwestern University,"Georgetown, TX","Southwestern University, under the auspices of the United Methodist Church, is committed to undergraduate liberal education involving both the study of and participation in significant aspects of our cultural heritage, expressed primarily through the arts, the sciences, the Institutions and the professions of society. As a teaching~learning community, Southwestern encourages rigorous inquiry and scholarship, creative teaching and the expression of free human life. The University seeks to involve the student In finding a personal and social direction for life, developing more sensitive methods of communication, cultivating those qualities and skills which make for personal and professional effectiveness, and learning to think clearly and make relevant judgments and discriminations.",50840,37560,352,0
Spalding University,"Louisville, KY","Spalding University is a diverse community of learners dedicated to meeting the needs of the times in the tradition of the Sisters of Charity of Nazereth through quality undergraduate and graduate liberal and professional studies, grounded in spiritual values, with emphasis on service and the promotion of peace and justice.",37224,24000,179,0
Spring Arbor University,"Spring Arbor, MI","""Spring Arbor University is a community of learners distinguished by our lifelong involvement in the study and application of the liberal arts, total commitment to Jesus Christ as the perspective for learning and critical participation in the contemporary world.""",36936,24910,286,0
St Andrews University,"Laurinburg, NC","The University's mission is to offer students an array of pre-professional and liberal arts and sciences programs of study that create a life trans- forming educational opportunity which is practical in its application, global in its scope, and multi-disciplinary in its general education core. Students will acquire depth of knowledge and expertise in their chosen field of study, balanced by breadth of knowledge across various disciplines. Special emphasis is placed on enhancing oral and written communication, and critical thinking skills. The University awards degrees at the associate, bachelor and master levels, and offers students educational opportunities at locations in Florida and North Carolina. Traditional classroom, online, and hybrid learning environments are available. Opportunities exist for students to draw on the courses and programs of study at both locations through online courses and/or periods of residence at either campus. Webber's programs in Florida focus on the worldwide business environment, and emphasize development of skills in administration and strategic planning, applied modern business practices, and entrepreneurship. The St. Andrews locations offer an array of traditional undergraduate liberal arts and sciences and pre-professional programs of study.",42100,24390,125,0
St John's College,"Annapolis, MD","St. John's College is a community dedicated to liberal education. Such education seeks to free human beings from prejudice and unexamined opinion, to help them reflect on the nature of things and on the ends and means of human endeavors, to prepare them to meet the known and unknown challenges the future will present, and to enable them to make thoughtful choices in public and private life.   Students at St. John's engage in this education by participating in the activities of its community of learning. The central activity is the reading and discussion, in small classes, of the great works of the West. This study is supported by and intertwined with the study of the elements of languages, mathematics, science, and music. In Santa Fe there is also a program that focuses on the great works of the East.  Through this singular discussion-based classroom experience, anchored in the rigor of the subject matters, we seek to develop in our students an ability to deal with complex issues through both cooperative inquiry and independent thinking. We hope to open the world to them in such a way that they become excellent citizens, parents, partners, colleagues, and friends.",62097,48544,84,0
Summit Christian College,"Gering, NE","Summit Christian College, an Institution of Higher Learning, Educates People for Christian leadership.",12168,5600,8,1
SUNY College of Technology at Alfred,"Alfred, NY","Alfred State, a residential college of technology, provides career-focused education enriched by the liberal arts to produce job- and transfer-ready graduates.",23885,6470,1049,0
SUNY Oneonta,"Oneonta, NY","The SUNY College at Oneonta unites excellence in teaching, scholarship, civic engagement, and stewardship to create a student-centered learning community.",22914,6470,1116,0
Susquehanna University,"Selinsgrove, PA","Susquehanna University educates undergraduate students for productive, creative, and reflective lives of achievement, leadership, and service in a diverse, dynamic and interconnected world.",55450,41500,659,0
Talmudical Yeshiva of Philadelphia,"Philadelphia, PA",To lay the scholarly foundation for the transmission of the wisdom of the Jewish people through the rigorously analytical analysis of traditional Talmudic sources.,18850,8650,31,0
Temple University,"Philadelphia, PA","Temple University is a national center of excellence in teaching and research with an international presence. Our talented faculty and broad curriculum of over 450 academic programs provide superior educational opportunities for academically talented and highly motivated students, without regard to their status or station in life. Temple’s richly diverse student population and the dramatic growth of our residential campus community of student scholars enrich the educational and extracurricular lives of our people. While the university especially serves students from Greater Philadelphia, it is enlivened by a rapidly increasing number of students from across Pennsylvania, throughout the nation, and around the world. We maintain an international presence with campuses in Tokyo and Rome and programs in London, Beijing, and six other locations worldwide. A longtime leader in professional education, Temple prepares the largest body of practitioners in Pennsylvania; we are among the nation’s largest educators in the combined fields of medicine, dentistry, pharmacy, podiatry and law. In addition, we offer more than 5 dozen doctoral and more than 100 master’s degree programs that contribute to research and scholarship. Temple seeks to create new knowledge that improves the human condition and uplifts the human spirit. To achieve this goal, we maintain our commitment to recruiting, retaining, and supporting outstanding faculty who prize diversity of thought, excel in scholarly endeavors and support the aspirations of capable students.",31638,14898,4742,0
Tennessee State University,"Nashville, TN","Tennessee State University, a Historically Black College/University (HBCU), fosters scholarly inquiry and research, life-long learning, and a commitment to service.",19467,6072,1334,0
Texas Christian University,"Fort Worth, TX",To educate individuals to think and act as ethical leaders and responsible citizens in the global community.,58270,40630,1993,0
The Evergreen State College,"Olympia, WA","As an innovative public liberal arts college, Evergreen emphasizes collaborative, interdisciplinary learning across significant differences. Our academic community engages students in defining and thinking critically about their learning. Evergreen supports and benefits from local and global commitment to social justice, diversity, environmental stewardship and service in the public interest.",22348,7512,592,0
The University of Texas at Austin,"Austin, TX","The mission of The University of Texas at Austin is to achieve excellence in the interrelated areas of undergraduate education, graduate education, research and public service. The university provides superior and comprehensive educational opportunities at the baccalaureate through doctoral and special professional educational levels.  The university contributes to the advancement of society through research, creative activity, scholarly inquiry and the development of new knowledge. The university preserves and promotes the arts, benefits the state's economy, serves the citizens through public programs and provides other public service.",26322,9806,7346,1
Thiel College,"Greenville, PA","Thiel College, an academic institution in the Lutheran tradition, empowers individuals to reach their full potential by assuring educational excellence, stimulating global awareness, promoting ethical and responsible leadership and preparing students for careers so that lives inspired by truth and freedom may be committed to service in the world.",44204,27038,204,0
Thomas More College,"Crestview Hills, KY","Thomas More College is the Catholic Liberal Arts College of the Diocese of Covington, Kentucky. Inspired by the Catholic Intellectual Tradition, we challenge students of all faiths to examine the ultimate meaning of life, their place in the world, and their responsibility to others.",39693,27268,276,0
Trinidad State Junior College,"Trinidad, CO",Trinidad State’s mission is to enrich the lives of our diverse communities by providing quality educational experiences and promoting lifelong learning.,17263,3132,264,0
Union University,"Jackson, TN",Union University provides Christ-centered education that promotes excellence and character development in service to Church and society.,48397,28200,332,0
